Date,France: CAC 40,UK: FTSE 100,Germany: DAX,US: S&P 500,Canada: TSX Composite,Japan: Nikkei 225
2016-10-20,4540.1201171875,7026.89990234375,10701.3896484375,2141.340087890625,14847.900390625,17235.5
2016-10-21,4536.06982421875,7020.5,10710.73046875,2141.159912109375,14939.0,17184.58984375
2016-10-24,4552.580078125,6986.39990234375,10761.169921875,2151.330078125,14923.0,17234.419921875
2016-10-25,4540.83984375,7017.60009765625,10757.3095703125,2143.159912109375,14870.599609375,17365.25
2016-10-26,4534.58984375,6958.10009765625,10709.6796875,2139.429931640625,14807.599609375,17391.83984375
2016-10-27,4533.56982421875,6986.60009765625,10717.080078125,2133.0400390625,14833.7998046875,17336.419921875
2016-10-28,4548.580078125,6996.2998046875,10696.1904296875,2126.409912109375,14785.2998046875,17446.41015625
2016-10-31,4509.259765625,6954.2001953125,10665.009765625,2126.14990234375,14787.2998046875,17425.01953125
2016-11-01,4470.27978515625,6917.10009765625,10526.16015625,2111.719970703125,14778.2998046875,17442.400390625
2016-11-02,4414.669921875,6845.39990234375,10370.9296875,2097.93994140625,14594.7001953125,17134.6796875
2016-11-04,4377.4599609375,6693.2998046875,10259.1298828125,2085.179931640625,14509.2998046875,16905.359375
2016-11-07,4461.2099609375,6806.89990234375,10456.9501953125,2131.52001953125,14652.5,17177.2109375
2016-11-08,4476.89013671875,6843.10009765625,10482.3203125,2139.56005859375,14656.7998046875,17171.380859375
2016-11-09,4543.47998046875,6911.7998046875,10646.009765625,2163.260009765625,14759.900390625,16251.5400390625
2016-11-10,4530.9501953125,6828.0,10630.1201171875,2167.47998046875,14744.2998046875,17344.419921875
2016-11-11,4489.27001953125,6730.39990234375,10667.9501953125,2164.449951171875,14555.400390625,17374.7890625
2016-11-14,4508.5498046875,6753.2001953125,10693.6904296875,2164.199951171875,14598.5,17672.619140625
2016-11-15,4536.52978515625,6792.7001953125,10735.1396484375,2180.389892578125,14756.099609375,17668.150390625
2016-11-16,4501.14013671875,6749.7001953125,10663.8701171875,2176.93994140625,14733.2001953125,17862.2109375
2016-11-17,4527.77001953125,6794.7001953125,10685.5400390625,2187.1201171875,14826.099609375,17862.630859375
