Date,PC 1 - Level,PC 2 - Slope,PC 3 - Curvature
1986-02-12,10.309835479899178,-2.216663769790635,-4.118832057427531
1986-02-13,10.240956394001863,-2.079520180196243,-4.205518657428461
1986-02-14,10.176693184176878,-1.8494049958835828,-4.872011483477014
1986-02-18,9.938394389243141,-1.9157834925287442,-3.88408957560844
1986-02-19,9.945464854523742,-1.8978558900149116,-3.775694626645614
1986-02-20,9.845306718108862,-1.8331088991681024,-3.391895535962464
1986-02-21,9.69310918035423,-1.543302997700683,-3.7757083824024567
1986-02-24,9.438807749942974,-1.4639951349217255,-3.150586442384641
1986-02-25,9.376353621268995,-1.447871985852412,-2.8910652370047014
1986-02-26,9.210100201835115,-1.3862515647556084,-2.4116447904013
1986-02-27,8.952014706464901,-1.1342703556884035,-2.4253889522759713
1986-02-28,8.896632583822955,-1.1750229403289931,-2.3254128620102312
1986-03-03,8.835245561389575,-1.0666818818921044,-2.6308803001228664
1986-03-04,8.723003053354597,-1.1669830006674502,-2.627073491120259
1986-03-05,8.956726051442729,-1.4538652792992723,-2.3953086011775806
1986-03-06,9.11527194537931,-1.3754545343160538,-3.4901113489795126
1986-03-07,9.214420002693567,-1.4313806385243455,-4.067843353859392
1986-03-10,9.133438013625044,-1.3037270883878933,-4.558956279295892
1986-03-11,8.920683306691801,-1.295267374783073,-3.9522159078039696
1986-03-12,8.866509677619604,-1.2460486364738124,-3.823949013380106
1986-03-13,8.954352177873108,-1.295272297771094,-3.8577047032784435
1986-03-14,8.90279399950976,-1.2715197081160505,-3.8480096690006733
1986-03-17,8.930275284056792,-1.3517162720181783,-3.7646761546122915
1986-03-18,8.905371220893844,-1.5191255279609213,-3.1216850432689855
1986-03-19,8.858914403407873,-1.4945122654191811,-3.028702231916827
1986-03-20,8.78460817986395,-1.4189626349960378,-2.928163450341932
1986-03-21,8.847849441924364,-1.5239919446436343,-3.0462626096360963
1986-03-24,8.735233595576842,-1.4476439203274996,-2.9142253450124707
